timestamp,vehicle_id,company,readiness,fault_codes,logistics_gap,Soldier Name,Phone,Notes
2025-12-30 23:43:03,L-01,Lahav,OPERATIONAL,,,Sgt. Cohen,050-6206841,All good
2025-12-30 23:43:03,L-02,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-7849228,All good
2025-12-30 23:43:03,L-03,Lahav,OPERATIONAL,,,Sgt. Cohen,050-7563409,"Checked ok, ready for mission"
2025-12-30 23:43:03,L-04,Lahav,OPERATIONAL,,,Sgt. Levi,050-8411397,All good
2025-12-30 23:43:03,L-05,Lahav,OPERATIONAL,,,Sgt. Levi,050-5672289,All good
2025-12-30 23:43:03,L-06,Lahav,OPERATIONAL,,,Sgt. Levi,050-9506318,All good
2025-12-30 23:43:03,L-07,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-7145081,All good
2025-12-30 23:43:03,L-08,Lahav,OPERATIONAL,,,Sgt. Levi,050-7119795,All good
2025-12-30 23:43:03,L-09,Lahav,OPERATIONAL,,,Sgt. Levi,050-2327760,All good
2025-12-30 23:43:03,L-10,Lahav,OPERATIONAL,,,Sgt. Levi,050-6935489,All good
2025-12-30 23:43:03,L-11,Lahav,OPERATIONAL,,,Sgt. Levi,050-6797955,All good
2025-12-30 23:43:03,L-12,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-9389384,All good
2025-12-30 23:43:03,L-13,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-6921770,All good
2025-12-30 23:43:03,L-14,Lahav,OPERATIONAL,,,Sgt. Levi,050-4093899,All good
2025-12-30 23:43:03,M-01,Mahatz,OPERATIONAL,,,Sgt. Levi,050-4245442,All good
2025-12-30 23:43:03,M-02,Mahatz,OPERATIONAL,,,Sgt. Levi,050-4499119,All good
2025-12-30 23:43:03,M-03,Mahatz,OPERATIONAL,,,Sgt. Mizrahi,050-2926267,All good
2025-12-30 23:43:03,M-04,Mahatz,OPERATIONAL,,,Sgt. Mizrahi,050-3096395,All good
2025-12-30 23:43:03,M-05,Mahatz,OPERATIONAL,,,Sgt. Levi,050-3792129,All good
2025-12-30 23:43:03,M-06,Mahatz,OPERATIONAL,,,Sgt. Levi,050-4740963,All good
2025-12-30 23:43:03,M-07,Mahatz,OPERATIONAL,Engine Overheat,,Sgt. Levi,050-4116775,Fills water and runs
2025-12-30 23:43:03,M-08,Mahatz,OPERATIONAL,,,Sgt. Mizrahi,050-1652211,All good
2025-12-30 23:43:03,M-09,Mahatz,OPERATIONAL,,,Sgt. Mizrahi,050-4612027,All good
2025-12-30 23:43:03,M-10,Mahatz,OPERATIONAL,,,Sgt. Cohen,050-9074665,All good
2025-12-30 23:43:03,M-11,Mahatz,OPERATIONAL,,,Sgt. Cohen,050-9935824,All good
2025-12-30 23:43:03,M-12,Mahatz,OPERATIONAL,,,Sgt. Mizrahi,050-6430721,All good
2025-12-30 23:43:03,H-01,Hod,OPERATIONAL,,,Sgt. Cohen,050-6671617,All good
2025-12-30 23:43:03,H-02,Hod,OPERATIONAL,,,Sgt. Cohen,050-7359370,All good
2025-12-30 23:43:03,H-03,Hod,OPERATIONAL,,,Sgt. Cohen,050-7735218,All good
2025-12-30 23:43:03,H-04,Hod,OPERATIONAL,,,Sgt. Mizrahi,050-4755116,All good
2025-12-30 23:43:03,H-05,Hod,OPERATIONAL,,,Sgt. Levi,050-8475374,All good
2025-12-30 23:43:03,H-06,Hod,OPERATIONAL,,,Sgt. Cohen,050-1122188,All good
2025-12-30 23:43:03,H-07,Hod,OPERATIONAL,,,Sgt. Cohen,050-4528817,All good
2025-12-30 23:43:03,H-08,Hod,OPERATIONAL,,,Sgt. Levi,050-2135358,All good
2025-12-30 23:43:03,H-09,Hod,OPERATIONAL,,,Sgt. Levi,050-3413606,All good
2025-12-30 23:43:03,H-10,Hod,UNAVAILABLE,Track Broken,Track Link x10,Sgt. Mizrahi,050-6753866,All good
2025-12-30 23:43:03,H-11,Hod,OPERATIONAL,,,Sgt. Cohen,050-9209620,All good
2025-12-30 23:43:03,H-12,Hod,OPERATIONAL,,,Sgt. Cohen,050-8499228,All good
2025-12-30 23:43:03,H-13,Hod,OPERATIONAL,,,Sgt. Mizrahi,050-7344043,All good
2025-12-30 23:43:03,H-14,Hod,OPERATIONAL,,,Sgt. Mizrahi,050-1529617,All good
2025-12-31 23:43:03,L-01,Lahav,DEGRADED,Comm System Fail,,Sgt. Mizrahi,050-4840520,All good
2025-12-31 23:43:03,L-02,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-8559390,All good
2025-12-31 23:43:03,L-03,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-5213263,"Checked ok, ready for mission"
2025-12-31 23:43:03,L-04,Lahav,OPERATIONAL,,,Sgt. Cohen,050-8901805,All good
2025-12-31 23:43:03,L-05,Lahav,OPERATIONAL,,,Sgt. Mizrahi,050-2367927,All good
2025-12-31 23:43:03,L-06,Lahav,OPERATIONAL,,,Sgt. Levi,050-5114787,All good
2025-12-31 23:43:03,L-07,Lahav,OPERATIONAL,,,Sgt. Levi,050-2347071,All good
2025-12-31 23:43:03,L-08,Lahav,OPERATIONAL,,,Sgt. Levi,050-6960532,All good
2025-12-31 23:43:03,L-09,Lahav,OPERATIONAL,,,Sgt. Levi,050-2734738,All good
2025-12-31 23:43:03,L-10,Lahav,OPERATIONAL,,,Sgt. Levi,050-8174295,All good
